source1_entity_id	candidate_entity_ids
S1-714132312	S2-234992726,S2-89660732,S2-971784625,S2-675736969,S2-162945861,S2-189850242,S2-659192854,S2-715669813,S2-244208993,S2-424328627,S2-381614500,S2-979035474,S2-798160947,S2-573927194,S2-175762234,S2-861325576,S2-889718806,S2-704784327,S2-321814110,S2-396288280,S2-906787517,S2-881171120,S2-541191390,S2-25994172,S2-181912861,S2-816480926,S2-594179886,S2-102957669,S2-648246452,S2-879509120,S2-783985107,S2-165721492,S2-282762709,S2-448673261,S2-165255024,S2-696619287,S2-658916143,S3-36348173,S3-717589268,S3-429813193,S3-298592871,S3-993551781,S3-981101549,S3-465838963,S3-453823909,S3-930121095,S3-652808257,S3-101742876,S3-893331737,S3-802705544,S3-258466473,S3-899273789,S3-72361725,S3-969774759,S3-900520051,S3-42776329,S3-498404103,S3-614671258,S3-918434772,S3-218041518
S1-106407869	S3-636015758,S2-411773002,S2-972087927,S2-980552823,S2-206048699,S2-666316775,S2-484297731,S2-394192097,S2-321502572,S2-754302744,S2-858928482,S2-71544017,S2-172354994,S2-56321998,S2-798943569,S2-621425641,S2-752910681,S2-73638823,S2-189273846,S2-1264665,S2-747679396,S2-438704568,S2-486415357,S2-61368935,S2-943550088,S2-524068313,S2-980150605,S2-215161590,S2-928376667,S2-743673384,S2-96975908,S2-557944627,S2-410498594,S2-637036577,S2-41980778,S2-774325912,S2-618990121,S2-89970404,S2-16149207,S2-911919526,S2-315515632,S2-393692317,S2-731113089,S2-107889694,S2-249819741,S2-927488900,S2-436375512,S2-3062058,S2-354948250,S2-755856824,S2-614297549,S2-623481138,S2-998329328,S2-460419258,S2-596844560,S2-443692870,S2-770902660,S2-974952432,S2-919939237,S2-323956802
S1-156285671	S2-564259126,S2-5302487,S3-727749384,S3-666769106,S3-632188745,S2-297900696,S2-765834139,S2-331825148,S2-210004230,S2-747380877,S2-154073845,S2-508523305,S2-261124471,S2-6254086,S2-406563194,S2-90300054,S2-298589120,S2-739146662,S2-830240705,S2-450793976,S2-673431509,S2-893021969,S2-90493626,S2-22755566,S2-792425759,S2-475238058,S2-71128315,S2-541505703,S2-851905646,S2-60931303,S2-864646095,S2-89315084,S2-812759640,S2-983373938,S2-238810562,S2-63431154,S2-68299575,S2-837066204,S3-311423133,S3-881734932,S3-561619614,S3-673842552,S3-152643787,S3-478150528,S3-214415006,S3-764187997,S3-138738397,S3-697923136,S3-475217030,S3-604975362,S3-358623759,S3-840497684,S3-826195982,S3-331985810,S3-584075783,S3-201265934,S3-847771413,S3-453256963,S3-412308574,S3-716702401
S1-689823050	S2-522429554,S3-99799420,S3-776791137,S2-814460787,S3-883789863,S3-156699178,S3-388981527,S3-216040185,S2-246409155,S3-47563913,S2-723323457,S2-506660159,S2-866164733,S2-186340265,S2-353554435,S2-811059804,S2-246966190,S2-689478309,S2-263665657,S2-205624613,S2-228547505,S2-754187550,S2-122146903,S2-967791774,S2-276989835,S2-731898556,S2-671211798,S2-440458595,S2-396608240,S2-658661467,S2-404564295,S2-584330142,S2-403363854,S2-869445708,S2-983698013,S2-917616907,S2-141532298,S2-521923036,S2-87816589,S2-290874610,S2-307092180,S2-409402307,S2-447080339,S2-167166712,S2-497273417,S2-413327308,S2-10912315,S2-237045165,S2-434006177,S2-442611753,S2-901299463,S2-94175630,S2-812280855,S2-4887753,S2-954068836,S2-149894235,S2-20642171,S2-118223465,S2-179202072,S2-625426071
S1-921369899	S2-649702926,S2-583114929,S2-710233773,S2-445598380,S2-75328302,S2-339500407,S2-17235825,S2-495870962,S2-263024876,S2-346644481,S2-589350155,S2-226231650,S2-1855489,S2-146077302,S2-302380669,S2-944210661,S2-577204741,S2-435541558,S2-37080803,S2-844951699,S2-99438370,S2-863913658,S2-183256763,S2-858230680,S2-604867386,S2-238991764,S2-370919988,S2-10204223,S2-3559692,S2-137062847,S2-251115906,S2-97935949,S2-217058300,S2-494152946,S2-140346380,S2-257058436,S2-971735868,S2-310153348,S2-390572031,S2-77241306,S2-972244054,S2-605757734,S2-153275752,S2-303995574,S2-550655292,S2-247431016,S2-440182093,S2-743735511,S2-298806819,S2-547059865,S2-43384829,S2-780367808,S2-762310335,S2-12116471,S2-135506804,S2-102002062,S2-805329478,S2-633442633,S2-462209155,S2-676780645
S1-481669221	S2-74457513,S2-863396005,S2-313233245,S3-121200991,S3-119035414,S3-552590394,S3-430278447,S2-893350041,S2-626847771,S2-796408256,S2-291804156,S3-610759930,S3-13782788,S2-952911724,S2-298348416,S2-835300345,S2-71879481,S2-108681503,S2-676204215,S3-241910201,S3-659072887,S3-294205305,S3-382916840,S2-830645124,S2-170890750,S2-953315150,S2-305089827,S2-916146502,S2-562106308,S2-242294970,S2-99502048,S2-386176405,S2-941720908,S2-824871984,S2-316275979,S2-401756825,S2-482526218,S2-714983444,S2-551522049,S2-806373215,S2-983583543,S2-780062951,S2-795826038,S2-54170047,S2-961160293,S2-676593745,S2-568029722,S2-646842635,S2-30245606,S2-729260353,S2-269480722,S2-303919039,S2-689588820,S2-6245565,S2-157819707,S2-903700617,S2-152334323,S2-945369040,S2-728248943,S2-694082200
S1-909865979	S2-832815541,S2-322580998,S2-378621927,S3-613974661,S3-566949914,S3-96282598,S2-481572644,S2-644642765,S2-272940047,S2-872543492,S2-503452667,S2-75264249,S2-832537800,S2-456679217,S2-663974978,S2-94328383,S2-442287985,S2-217212887,S2-400339315,S2-68220240,S2-259273068,S2-521058989,S2-123452842,S2-245051697,S2-448596081,S2-580044694,S2-450847813,S2-573705497,S2-111551361,S2-97921137,S2-400892953,S2-455329142,S2-198968200,S2-360508001,S2-196514824,S2-440505898,S2-696269720,S2-155232952,S2-665107455,S2-138204038,S2-432508308,S2-393875913,S2-84768000,S2-476891740,S2-534764693,S2-329490305,S3-281100873,S3-893483751,S3-785426334,S3-54659473,S3-686986580,S3-868876808,S3-878636925,S3-708397605,S3-385799793,S3-418245470,S3-878141991,S3-238208192,S3-469653337,S3-815682293
S1-280204013	S2-10028897,S3-958937599,S3-604261711,S3-218842240,S2-138331307,S2-994099264,S2-395171961,S2-521739469,S2-553825738,S2-861748088,S2-207058484,S2-755491655,S2-334438457,S2-723097211,S2-110270015,S2-939647243,S2-444182535,S2-835050720,S2-486276480,S2-318926981,S2-264036853,S2-854539909,S2-958844174,S2-415895743,S2-31431545,S2-906688291,S2-155102922,S2-963070219,S2-880137250,S2-316474259,S2-643635527,S2-576742243,S2-27462337,S2-751876281,S2-674881278,S2-998779222,S2-400030713,S2-586014836,S2-706041870,S2-787287741,S2-866164114,S2-224994288,S2-717371074,S2-910300450,S2-502577706,S2-818136537,S2-906107388,S2-23694671,S2-565241720,S2-348338194,S2-271504828,S2-205355462,S2-805852246,S2-717528382,S2-882898678,S2-402516596,S2-938790152,S2-318720609,S2-643729477,S2-307616621
S1-742053041	S2-554794479,S3-931673765,S3-539879357,S2-954571253,S2-753593579,S2-159786085,S2-230853512,S2-708749034,S2-631290501,S2-568090676,S2-517297176,S2-263347585,S2-662218899,S2-204577767,S2-826449357,S2-853864509,S2-304630748,S2-103812435,S2-543711264,S2-800335384,S2-885754439,S2-538958024,S2-303168297,S2-901908443,S2-361581859,S2-596407023,S2-177373106,S2-604547804,S2-595632852,S2-806495005,S2-244393494,S2-583761043,S2-818118341,S2-100147485,S2-707033137,S2-741381919,S2-123685750,S2-615526201,S2-22501540,S2-473478324,S2-81497248,S2-775505542,S2-382293588,S2-101634062,S2-980358999,S2-280502897,S2-269474771,S2-321651806,S2-137530391,S3-331435880,S3-505170939,S3-700240148,S3-462208858,S3-759757918,S3-397000094,S3-560511603,S3-117370107,S3-445912767,S3-645861726,S3-21740267
S1-913506265	S2-211320575,S2-584706618,S3-80876294,S2-626468842,S2-973459583,S2-545761030,S2-36906803,S2-958462365,S2-799053047,S2-798145162,S2-744101407,S2-116618471,S2-475534755,S3-146360385,S3-15854833,S3-280080213,S3-192405353,S3-837079914,S3-112337441,S3-328197877,S3-804675767,S3-462505598,S3-967864109,S3-162441093,S3-314473064,S3-873649332,S3-285937615,S3-327914739,S3-170280589,S2-229203598,S2-253085970,S2-571574681,S2-798955015,S3-806961379,S3-564423062,S2-524434440,S2-336076880,S2-503966344,S2-441692657,S2-613021953,S2-169037041,S2-519644358,S2-533000846,S2-878257479,S2-988818211,S2-65808502,S2-711660940,S2-567062100,S2-39283104,S2-148978504,S2-885212289,S2-96368391,S2-168557846,S2-132741297,S2-321991265,S2-869945482,S2-72621756,S2-386934307,S2-111323888,S2-419407012
S1-479574617	S3-295940731,S2-842829312,S2-866219722,S2-322894222,S2-31965582,S2-380723057,S2-55099434,S2-783522151,S2-730808154,S2-802103549,S2-909686204,S2-887367418,S2-40810766,S2-79847822,S2-795087361,S2-893211555,S2-91236651,S2-849389903,S2-245780129,S2-109510748,S2-765422588,S2-764890906,S2-120258406,S2-992470000,S2-789972659,S2-768885001,S2-275565517,S2-601885639,S2-584852281,S2-710636523,S2-885801269,S2-415954708,S2-449739771,S3-825495383,S3-497775376,S3-253705785,S3-369240610,S3-411131923,S3-793476992,S3-106837574,S3-648536675,S3-492730931,S3-169807836,S3-348558423,S3-470981270,S3-566811411,S3-254710423,S3-73254804,S3-942822892,S3-78817251,S3-235492286,S3-923254190,S3-715414026,S3-691772944,S3-225094735,S3-531665674,S3-875943769,S3-30184094,S3-350715987,S3-658784347
S1-680637447	S2-243122737,S2-114838518,S2-193722053,S3-683064127,S3-54567462,S3-92222622,S2-470617752,S2-991613543,S2-303037664,S2-318799519,S2-419491073,S2-112689538,S2-510635651,S2-171400053,S2-675337024,S2-949209550,S2-83896121,S2-587461132,S2-945808307,S2-555235475,S2-530322508,S2-216338042,S2-900800434,S2-409062448,S2-353387,S2-283746027,S2-501276867,S2-899393050,S2-631290501,S2-936122535,S2-765044773,S2-247694529,S2-732505504,S2-749754768,S2-188011657,S2-623103529,S2-553510214,S2-362348935,S2-479619104,S2-662240293,S2-42470930,S2-370250126,S2-883785499,S2-491277475,S2-857515979,S2-262581210,S2-131592939,S2-292148648,S2-151829284,S2-637141166,S2-712510450,S2-732377311,S2-436657520,S2-457284693,S2-600947347,S2-89642010,S2-77561685,S2-755935635,S2-651161698,S2-147680626
